response,test,N,rho_nominal,p_nominal,rho_boot_q16,rho_boot_q50,rho_boot_q84,rho_boot_err_lo,rho_boot_err_hi,sign_fraction
inner,Density | midpoint,91,-0.21691549951941214,0.04001487763379183,-0.23582233454049198,-0.1784110777468746,-0.11792253470412505,0.05741125679361739,0.060488543042749546,0.9985
inner,Density | nearest BCG,91,-0.008506016587154408,0.936580377846674,-0.06003186030721812,0.004185046776671916,0.06571174732277414,0.06421690708389004,0.06152670054610222,0.4685
inner,Midpoint | density,91,-0.039666588608065434,0.7104913964054849,-0.08040351636102386,-0.018870216196727345,0.04740840589304229,0.06153330016429651,0.06627862208976963,0.6135
inner,Nearest BCG | density,91,0.1882279083575503,0.07562705747192532,0.11391808062657978,0.17603171356772368,0.2353752000927343,0.0621136329411439,0.05934348652501062,0.996
inner,Tidal | density,91,-0.17389543703256174,0.10117762734751061,-0.22651968850964152,-0.16491980856203678,-0.10365836501168132,0.06159987994760474,0.061261443550355454,0.992
annulus,Density | midpoint,91,-0.4617203205924959,4.6361996965592174e-06,-0.47066591096056654,-0.4187063418129914,-0.3643574057436016,0.05195956914757516,0.054348936069389786,1.0
annulus,Density | nearest BCG,91,-0.3836563826303412,0.00018943005484449625,-0.3977964389748712,-0.34382968688210164,-0.2876688554942466,0.053966752092769577,0.05616083138785505,1.0
annulus,Midpoint | density,91,0.03518743028015077,0.7419644595861502,-0.028725740352687018,0.019916410185397977,0.07420566156551567,0.048642150538084995,0.05428925138011769,0.6525
annulus,Nearest BCG | density,91,0.050075340290932274,0.6392768929492759,-0.008411173653954829,0.03791074570516566,0.08915973020404193,0.046321919359120486,0.05124898449887627,0.786
annulus,Tidal | density,91,-0.0576631510113519,0.5893050312890727,-0.1003227328864949,-0.047594533835544364,0.001497422347586219,0.05272819905095054,0.049091956183130586,0.831
contrast,Density | midpoint,91,0.14195001462482082,0.18200696836196154,0.0388565541489759,0.1045194980941381,0.17100817756340672,0.0656629439451622,0.06648867946926862,0.946
contrast,Density | nearest BCG,91,0.23748815044718352,0.024204591753645522,0.13562976061223314,0.19799059645886607,0.26363186030079083,0.062360835846632934,0.06564126384192476,0.998
contrast,Midpoint | density,91,-0.020249621453475516,0.8497488770778,-0.0857712120296852,-0.017807974108365793,0.044526554415308665,0.0679632379213194,0.06233452852367446,0.6265
contrast,Nearest BCG | density,91,0.1354316552353523,0.20311365176307522,0.06150946880731026,0.12363243627083853,0.18390517486905053,0.06212296746352827,0.060272738598212,0.976
contrast,Tidal | density,91,-0.12354197944525822,0.24601239581095818,-0.17532615213054298,-0.10960136594130651,-0.04680197369771369,0.06572478618923647,0.06279939224359282,0.96
